,SMILES String,PC1,PC2,PC3,PC4,PC5,Cluster
Anion_0144,Cc1c[n+](CC(=O)[O-])c([O-])[nH+]c1[O-],1.025994615,-0.147111652,2.173286551,-1.341784531,-1.878800768,3
Anion_0145,COc1cc(CC(=O)[O-])cc(OC)c1OC,0.829203343,1.543599354,-1.087565786,-0.413618781,0.504571738,5
Anion_0146,Cc1ccc(C(=O)[O-])s1,0.000195523,-2.278997578,-1.759520931,-0.566665736,-0.551888176,2
Anion_0147,CC=C(C)C(=O)[O-],4.115884533,-2.491949231,-0.323821323,-1.038356216,-0.060650807,20
Anion_0148,O=C([O-])C=Cc1ccc2c(c1)OCO2,-2.725619467,1.193378155,-1.3335543,-0.749051171,-0.099404708,10
Anion_0149,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-],3.449514303,-0.303900629,0.96813925,-0.286604389,2.028289837,7
Anion_0150,O=C([O-])Cc1cccnc1,1.205092553,-0.533096894,-0.222453311,0.322640678,-1.656659512,5
Anion_0151,CC(=Cc1ccccc1)C(=O)[O-],-0.385262331,-0.078334472,-0.299424375,-0.304973042,-0.172121846,2
Anion_0152,O=C([O-])CC(F)(F)F,6.235659035,-1.093411992,-2.052419115,-2.49846105,-0.673776975,11
Anion_0153,Cc1ccc2c(=O)c3cccc(CC(=O)[O-])c3oc2c1C,-2.912641304,0.740387652,0.066210255,1.792594032,0.385791842,10
Anion_0154,O=C([O-])CC(c1ccccc1)c1ccccc1,0.720768034,1.651352081,-0.391136153,0.036718426,-0.572621295,5
Anion_0155,O=C([O-])CC1CC1,6.614546125,0.681037357,-2.488582581,-2.042263867,-0.567127064,1
Anion_0156,CC(C)(C(=O)[O-])c1ccccc1,3.357847121,-0.668605383,0.52548239,1.656914882,0.829806799,7
Anion_0157,CCOC(=O)CCC(=O)[O-],3.533404062,0.750249409,-1.556398267,0.828210253,-0.930863099,20
Anion_0158,COc1ccccc1C=CC(=O)[O-],-1.583052318,-0.622923945,-1.63638938,0.043068473,-0.494141118,2
Anion_0159,O=Cc1ccc(C(=O)[O-])o1,-2.440396144,-3.942414279,-0.137758641,-0.309006014,-1.622506131,8
Anion_0160,O=C([O-])Cc1ccccc1F,1.763101335,-0.021658866,-0.252485478,-0.395045588,-1.019285973,5
Anion_0161,O=C([O-])Cc1cccc(F)c1,1.862021755,0.025057722,-0.472032255,0.128647246,-1.020629695,20
Anion_0162,O=C([O-])CCC1CCCCC1,4.766956111,2.2883815,-2.50519252,-1.100227292,0.408232227,1
Anion_0163,O=C([O-])CCCCCN1C(=O)C=CC1=O,1.076840194,0.162229343,7.620901176,4.534202717,-2.133103053,12
Anion_0164,O=C([O-])C(c1ccccc1)(c1ccccc1)c1ccccc1,1.881780619,-1.791656109,3.368173216,1.071774864,4.27396759,7
Anion_0165,CCCC(=O)C(=O)[O-],0.881420676,-4.671958105,-0.862620517,-0.36611331,-0.537799232,17
Anion_0166,COc1ccc(C(=O)CCC(=O)[O-])cc1,-0.082236388,0.600442113,-0.821992212,3.13551904,-1.710804288,13
Anion_0167,CCOCC(=O)[O-],5.590128627,0.231520402,-1.798786163,-3.427086731,-1.110809965,1
Anion_0168,C#CCCCCC(=O)[O-],3.253547552,2.467967005,-1.224679685,-1.470801189,-1.095966686,1
Anion_0169,COC(=O)CC(=O)[O-],3.73902893,-0.530622041,-0.981841909,-0.893715963,-1.759710428,20
Anion_0170,O=C([O-])C1c2ccccc2-c2ccccc21,0.270564667,-0.956690806,1.607660894,0.66168955,1.022334768,7
Anion_0171,C[n+]1c(C(=O)[O-])cc2cccc[c-]21,-0.621599801,-2.117230622,-1.272889306,0.177982423,1.208105915,2
Anion_0172,COc1ccc(C(=O)C(=O)[O-])cc1,-1.96990176,-1.939818149,0.37033154,0.405559294,0.617585726,15
Anion_0173,C#CCCCCCCCCC(=O)[O-],0.468913649,6.074691005,-0.754577498,-1.439233327,0.731384319,16
Anion_0174,CCC(C)(C)C(=O)[O-],7.394769834,-0.598356092,-0.455717977,-0.850801001,0.944994004,11
Anion_0175,COc1ccc(C#CC(=O)[O-])cc1,-4.18030233,-0.967470993,-1.401263071,-1.315005195,2.895669969,15
Anion_0176,C[N+](C)=c1[c-]c2c(cc1)C(CC(=O)[O-])CC(=O)O2,-0.200394096,1.510925974,-1.766108965,1.492032755,0.946009674,6
Anion_0177,C=CCCCCCCCC(=O)[O-],0.22749121,5.445920065,-0.491688988,-0.704560401,0.235437393,16
Anion_0178,CC(=O)CCCCC(=O)[O-],2.178528874,0.963503109,0.060961929,-0.812054514,-2.923670652,5
Anion_0179,COc1ccc(CCC(=O)[O-])cc1OC,2.046397379,1.222968216,-1.952233504,2.292324622,-0.375249553,9
Anion_0180,O=C([O-])C=Cc1ccccc1Cl,-1.621263114,-0.87785974,-0.779204443,0.441908162,-0.08830649,2
Anion_0181,Cc1ccc(C(=O)C(=O)[O-])cc1,-1.634944641,-2.758638805,0.380857709,0.664243452,0.171399638,8
Anion_0182,O=C([O-])C(=O)c1ccc(Cl)cc1,-2.451672303,-3.189911193,0.745525544,0.660374102,-0.087811206,8
Anion_0183,O=C([O-])CC1CCCC1,5.200719342,1.872102473,-1.923160365,-2.242262216,-0.893818663,1
Anion_0184,COC(=O)CCCC(=O)[O-],2.237582043,2.192534562,-0.923235795,-0.477214314,-1.442965071,5
Anion_0185,O=C([O-])C1=[N+]=[NH+]c2ccccc21,-0.931821655,-1.17862597,-0.993577719,-1.108811138,-1.353318334,2
Anion_0186,CCC=CCC(=O)[O-],2.917865976,1.62443537,-1.049492691,-1.112714177,-0.991063151,20
Anion_0187,O=C([O-])c1cc[nH+][n-]1,2.317896997,-2.209146639,-2.671879884,-0.826516126,-0.601958656,17
Anion_0188,CSCC(=O)[O-],5.253483202,-1.327450271,-1.598800206,-1.705332296,-1.217634431,20
Anion_0189,Cc1ccc(C(=O)CCC(=O)[O-])cc1,-0.167255238,0.594579699,-0.500348664,3.276715189,-1.678234364,13
Anion_0190,O=C([O-])CC=Cc1ccccc1,-0.285467355,2.222956254,0.32099123,-0.13961872,-1.385960425,5
Anion_0191,O=C([O-])c1cc2cc3c4c(c2oc1=O)CCCN4CCC3,-4.630356616,1.25568847,-0.221055111,0.045310493,1.906877881,10
Anion_0192,COc1[c-]c2cc(C(=O)[O-])[nH+]c-2cc1,-2.569475157,-1.198327484,-1.95951081,-0.637956264,1.281140229,15
Anion_0193,O=C([O-])C=Cc1cccnc1,-2.064546888,-1.294116356,-1.332311839,0.455513003,-0.857747667,2
Anion_0194,CC1(C(=O)[O-])CCCCC1,7.122147419,-0.566884864,-0.238220457,-0.561098949,1.957552794,11
Anion_0195,O=C([O-])Cc1cc2ccccc2[nH]1,-0.41888018,0.577904397,0.745391993,-2.136651327,-2.340915885,5
Anion_0196,O=C([O-])C1CCCCCC1,5.309078911,0.492444662,-2.474869305,-0.895031372,0.486894205,1
Anion_0197,O=C([O-])CCC(=O)c1ccc(Cl)cc1,-0.606414119,0.05555713,-0.61153821,3.671474743,-2.211261412,13
Anion_0198,Cc1ccc(OCC(=O)[O-])cc1,0.734742894,0.824598645,-0.771083724,-0.192733736,-1.212700945,5
Anion_0199,O=C([O-])CCC(=O)OCc1ccccc1,1.765116085,0.878940863,-1.270035624,1.152767563,-0.520290298,9
Anion_0200,CC(=O)OCC(=O)[O-],3.413883233,-0.888910409,-0.063595079,-1.189172371,-1.276696263,20
Anion_0201,C=C(C(=O)[O-])C(F)(F)F,2.486318105,-3.897316185,1.490708232,-0.056717835,-0.283658855,17
Anion_0202,COC(=O)CCCCCCC(=O)[O-],3.263423853,0.431937252,-1.821508502,1.604995414,-0.940126353,9
Anion_0203,Cc1ccccc1OCC(=O)[O-],1.275370114,0.298615811,-0.469296322,-0.760389,-1.521331981,5
Anion_0204,O=C([O-])Cc1cccc(C(F)(F)F)c1,0.582041161,0.25270267,-0.634535436,0.71182521,-0.294603291,9
Anion_0205,CC(C)(C)OC(=O)N1CC(C(=O)[O-])C1,1.507058724,1.735962658,-1.948393857,-0.151012126,1.766061033,6
Anion_0206,O=C([O-])C=Cc1cccs1,-1.813775727,-0.902326651,-1.330482419,0.516346334,-1.101740527,2
Anion_0207,COCCC(=O)[O-],6.948866992,-0.202636349,-2.6289423,-1.297760249,-0.730810779,11
Anion_0208,COC(=O)CCCCCCCC(=O)[O-],1.982856885,1.272849795,-1.38533576,0.339653488,-0.404999537,9
Anion_0209,CC(C)(C)C(=O)C(=O)[O-],1.91723213,-4.378218859,-0.751096694,-0.80731682,0.761700651,17
Anion_0210,O=C([O-])C=Cc1ccc(C(F)(F)F)cc1,-3.433323654,0.274036336,-1.470046083,0.637314762,0.257241681,10
Anion_0211,O=C([O-])C(=O)c1cccs1,-1.965529581,-4.262263312,0.967908361,0.237141344,-1.484058275,8
Anion_0212,O=C([O-])c1cc2cc(Cl)ccc2[nH]1,-2.425315136,-2.340386966,-1.904619093,0.06362453,0.885636428,15
Anion_0213,O=C([O-])Cc1ccccc1I,1.420852564,0.509319474,0.35064189,0.51524465,-1.407612927,5
Anion_0214,O=C([O-])C=CC=Cc1ccccc1,-3.940748063,1.491092311,-0.980973727,0.016994827,-0.04863771,10
Anion_0215,O=C([O-])COc1ccccc1Cl,1.421761985,-0.418828703,-1.058493056,0.511341779,-0.901463808,9
Anion_0216,O=C([O-])C(F)(F)S(=O)(=O)F,0.240824045,-7.612009512,3.50962274,-2.266464497,1.106057701,21
Anion_0217,O=C([O-])C=Cc1cccc(Cl)c1,-2.84835747,0.095951626,-0.899245063,-0.687968348,-0.668076773,10
Anion_0218,O=C([O-])C=Cc1ccc(C[N+]2=CC=[N+]=C2)cc1,-4.288766201,2.903657539,-0.014287393,-1.414432897,0.46907757,0
