code_name,SMILES,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,Total charge,Global SASA,G solv. in H2O,G of H-bonds H2O,MolLogP
Anion_0111,N#[N+][N-]CC(=O)[O-],3.2335,-5.2881,-2.0546,3.794,-6.7145,6.072,-1.0,236.2661,-65.615,-1.9704,-1.12192
Anion_0112,COc1ccccc1CC(=O)[O-],2.6584,-5.1605,-2.5021,3.2351,-5.1995000000000005,9.382,-1.0,334.1782,-64.3637,-1.8975,-0.0124
Anion_0113,Cc1ccc(C(=O)c2ccc(CC(=O)[O-])n2C)cc1,1.3462,-5.5777,-4.2315,3.2868,-2.8349,18.2752,-1.0,471.0,-63.8034,-2.6084,0.856919999999999
Anion_0114,O=C([O-])C=Cc1ccco1,1.4643000000000002,-4.854,-3.3897,3.4032,-4.3101,16.1593,-1.0,307.4989,-70.1428,-2.3771,0.042699999999999
Anion_0115,C=C(C(=O)[O-])c1ccccc1,2.1397,-4.9413,-2.8016,3.1348,-4.7675,11.734,-1.0,323.7489,-66.8811,-1.9176,0.4497
Anion_0116,CC(C)C(=O)C(=O)[O-],2.217,-4.6283,-2.4114,3.1818,-6.5344,11.6233,-1.0,275.8266,-66.7036,-2.356,-1.0386
Anion_0117,COc1ccc(CCC(=O)[O-])cc1,1.5944,-4.6746,-3.0802,3.1602,-4.7987,17.4833,-1.0,376.4287,-69.3815,-2.3006,0.377699999999999
Anion_0118,O=C([O-])C(=O)Cc1c[nH+]c2cccc[c-]12,1.3145,-4.8718,-3.5573,3.0785,-3.9001,17.1902,-1.0,380.3892,-69.5197,-3.4031,-0.765699999999999
Anion_0119,O=C([O-])Cc1cccc(Br)c1,2.4079,-5.4875,-3.0796,3.5308,-4.5071,8.752,-1.0,338.7596,-59.4928,-1.9214,0.741499999999999
Anion_0120,O=C([O-])Cc1ccc(C(F)(F)F)cc1,2.3641,-5.6515,-3.2873,3.7088,-4.3178,8.6733,-1.0,360.4434,-54.6926,-2.6218,0.9977999999999992
Anion_0121,CCCC=CC(=O)[O-],2.9679,-4.4499,-1.482,3.1584,-6.8398,15.8904,-1.0,297.9792,-71.3826,-2.1426,0.0926
Anion_0122,CCOC(=O)C=CC(=O)[O-],1.218,-5.1656,-3.9477,3.7692,-4.1205,18.1526,-1.0,327.6214,-66.8643,-2.9252,-1.144399999999999
Anion_0123,O=C([O-])C=Cc1ccc(F)cc1,1.0821,-5.0345,-3.9524,3.5459,-3.5869,15.0796,-1.0,341.6923,-67.9089,-2.8081,0.5888
Anion_0124,O=C([O-])COc1ccc2ccccc2c1,1.2437,-5.2274,-3.9837,3.2223,-3.3951,14.2574,-1.0,384.1212,-66.0431,-2.0211,0.968499999999999
Anion_0125,CCCCCCCCCCC/C=C\CCCCC(=O)[O-],1.9469,-4.7688,-2.822,3.1985,-5.5143,16.3069,-1.0,530.3776,-68.8198,-1.4675,4.773800000000004
Anion_0126,COC(=O)CCCCC(=O)[O-],3.0869,-5.2421,-2.1552,3.6544,-6.1741,9.8434,-0.9998,340.3624,-67.2815,-2.5232,-0.5303
Anion_0127,O=C([O-])Cc1ccccc1Br,2.4306,-5.4398,-3.0093,3.4345,-4.6198,10.7152,-1.0,328.8001,-61.508,-1.894,0.741499999999999
Anion_0128,O=C([O-])c1cc2ccccc2s1,1.8494,-5.4428,-3.5934,3.6817,-3.8155,16.016,-1.0,332.7587,-69.3974,-2.1312,1.2648
Anion_0129,CCC=CC(=O)[O-],2.9295,-4.4104,-1.4809,3.1507,-6.8632,14.5057,-1.0,274.118,-71.7045,-2.2277,-0.2975
Anion_0130,CC(C)=CCCC(C)=CC(=O)[O-],2.8026,-4.6587,-1.8561,3.0847,-5.8287,13.7363,-1.0,358.5248,-70.0771,-2.0119,1.428999999999999
Anion_0131,O=C([O-])C1=CCCCC1,3.1391,-4.4789,-1.3398,3.0504,-6.8204,14.425,-1.0,293.8074,-71.7617,-2.08,0.236699999999999
Anion_0132,O=C([O-])CCC1=[N+]=C(c2ccccc2)C(=C2C=CC=C[CH-]2)O1,0.4967,-5.2726,-4.7759,3.3455,-2.1017,23.4693,-0.8994000000000001,525.281,-70.2461,-2.4461,1.0860899999999991
Anion_0133,O=C([O-])CN1C(=O)C[S+]=C1[S-],2.4327,-6.5252,-4.0925,4.4655000000000005,-3.5822000000000003,2.271,-1.0,316.9859,-48.1045,-2.1202,-2.7046
Anion_0134,CCCCCCCCCCCCCC=CC(=O)[O-],2.9511000000000003,-4.4391,-1.488,3.1425,-6.7086,39.0659,-1.0,585.4688,-72.8954,-2.4856,3.993600000000002
Anion_0135,O=C([O-])CCCC(=O)c1ccccc1,0.9953,-5.2812,-4.2859,3.5627,-3.2568,10.1717,-1.0,379.0045,-64.2072,-2.3605,0.7894999999999991
Anion_0136,O=C([O-])CC12CC3CC(CC(C3)C1)C2,5.276,-4.5531,0.7229,3.0417,-9.5447,16.483,-1.0,359.3462,-69.3618,-1.8274,1.342799999999999
Anion_0137,O=C([O-])CF,5.128,-4.8564,0.2716,3.8578,-9.4159,6.081,-1.0,204.9456,-64.5381,-2.5346,-1.2942
